id,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
4013,925,1269,1375,1216,92,14,2,1,2,55,48,,,,27,,19,31,946,5624,6882,5612,4483,4001,3117,3229,1838,981,900,567,441,22,71,722,434,,,,14,,1,5,144,522,662,858,686,1620,1448,1616,1369,1664,1043,237,56835
4015,30,14,8,3,2,1,,,,,,,,,1,,,,4,1,,,,,,17,3,,1,,,,,,,,,,1,,,,,,,,,,3,18,5,1,,,113
4017,92,76,61,,,,,,,,,,,,,,,,39,51,33,119,69,64,64,88,121,4,,,102,,,,,,,,,,,,,5,22,44,8,61,33,106,71,10,,,1343
4019,1085,1300,723,418,1216,893,2,2,4,,3,1,,,13,,1,1,393,2669,3331,3123,4122,2198,1055,1817,919,550,1245,2733,1047,618,972,355,310,,,,10,,,130,1908,144,142,843,1287,905,118,501,1048,381,1181,772,42489
4021,17,68,88,,,,,,,,,,,,,,14,,7,110,191,247,348,92,110,80,1233,36,,984,,,,,,,,,,,,2,,1,1,2,7,21,4,130,550,61,34,,4438
4023,,,,,,,,,,,8,,,,,,,,,8,16,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,36
4025,482,192,163,11,17,,,1,,,,,,,2,,,13,12,14,186,11,2,16,256,424,305,44,1,,,,,,,,,,1,,,,1,1,,,,1,22,66,540,93,,,2877
4027,2,,,,,,,,,,,,,,1,,,,51,244,413,239,148,231,183,184,70,18,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1787
5001,,,1,,,,,,,,,,,,,,,,,,1,6,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,12
5003,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,1,,,,,10
5005,,,2,11,2,,,,,,,,,,,,,,,,2,3,,,18,64,27,17,1,67,270,12,,,,,,,,,,,,,,2,2,1,15,25,19,20,,1,581
5007,53,71,66,22,1,,,,,,,,,,,,5,50,151,154,72,66,190,53,63,69,174,268,4,85,179,,,,,,,,,1,,26,92,97,113,72,109,122,211,109,224,153,2,,3127
5009,,2,4,6,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,3,1,2,9,8,7,14,,,62
5011,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,10,22,,,,39
5013,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,5,,4,6,,40,63
5015,2,2,11,10,1,,1,,,,,,,,,,,,,,,,,1,2,5,5,2,,224,,,,,,,,,,,,,,,5,4,3,3,18,20,18,18,3,,358
5017,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,8
5019,,,,,1,,,,,,,,,,,,,,,,103,124,84,18,219,1,41,2,,,,,,,,,,,,,,,,,1,1,,,31,34,19,60,,2,741
5021,,,6,1,,,,,,,,,,,,,,,,,,6,18,16,13,12,11,99,,97,,,,,,,,,,,,,,,,,,3,7,7,114,1,,89,500
5023,10,,9,6,,,,,,,,,,1,,,,,2,1,66,31,142,162,180,6,9,9,2,,,,,,,,,,,,,,,,,,1,,1,7,4,19,,2,670
5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,12,2,,,22
5027,,,,,,,,,,,,,,,,,,,7,7,,,4,12,5,16,19,92,1,,,,,,,,,,,,,,,,,,1,11,9,8,11,31,2,43,279
5029,,1,1,3,,,,,,,,,,,,,,,,,1,,,1,1,3,1,,,1,1,,,,4,,,,,,,,,,,,,,,3,4,41,1,,67
5031,,,21,30,16,,3,,,,,,,,,,,3,35,27,23,8,2,71,106,19,25,29,36,32,88,,,,,,,,,1,,,,4,,36,15,15,15,66,48,41,8,2,825
5033,3,3,9,5,,,,,,,,,,,,,,15,38,16,4,29,42,22,9,20,8,31,21,,,,,,,,,,,,,,,1,35,63,22,31,23,4,13,117,,1,585
5035,,,,,,,,,,,,,,,,,,,53,58,77,2,,5,,,6,2,,,,,,,,,,,,,,,,,,,,44,1,,98,,,3,349
5037,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,3,10,,,,,,,,,,,,,,,,,,,1,,,32,7,23,15,,95
5039,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,12,209,,,,,,,,,,,,,,,,,,,,,,16,,,,240
5041,,,,,,,,,,,,,,,,,,,,,1,3,,,,,1,224,70,,,,,,,,,,,,,,,,,,1,,,,,,,,300
5043,,1,,,,,,,,,,,,,,,,,1,,2,,,79,56,13,,,,,,,,,,,,,,,,,,,,,1,,,,,60,,1,214
5045,2,9,39,16,1,,2,,,,,,,,,,,63,7,51,181,66,255,65,165,301,180,3,,31,6,,,,39,,,,6,11,,,,,5,29,37,12,59,111,371,101,,335,2559
5047,,,,9,,,,,,,,,,,,,,,,,1,,,2,2,,6,,1,,,,,,,,,,,,,,,,,,,1,,,7,,,2,31
5049,2,,1,,,,,,,,,,,,,,,,,,,3,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,15
5051,3,3,1,,1,2,,,,,,,,,,,,,,,7,2,1,22,24,335,231,8,,,,,,,,,,,,1,,2,136,26,1,,10,5,6,14,15,146,225,10,1237
5053,,1,,,,,,,,,,,,,,,,,2,,1,,2,,,,,83,10,,,,,,,,,,,,,,,,,,1,,,1,40,3,,3,147
5055,,,25,8,,,,,,,,,,,,,,,,,1,4,9,12,12,4,23,152,,,,,,,,,,,,,,,,,,,,13,25,13,62,115,86,2,566
5057,,,,,,,,1,,,,,,,,,,,,,,2,,8,6,7,17,2,,,,,,,,,,,,,,,,,1,,,,5,31,,1,,3,84
5059,,,,,,,,,,,,,,,,,,,,,,2,,4,3,1,3,,,,,,,,,,,,,,,,,,,,,,1,30,40,15,,2,101
5061,,,,,,,,,1,,,,,,,,,,,,,1,,4,,3,6,2,,,,,,,,,,,,1,,,,,,,,,2,,,,,2,22
5063,5,1,17,27,1,,1,,,,,,,,,,,6,23,18,18,32,5,7,1,9,11,14,2,67,99,,,,,,,,,,,,,,,10,24,14,6,9,14,24,124,3,592
5065,,,4,5,,,,,,,,,,,,,,,,1,2,,3,1,,5,2,7,,,,,,,,,,,,,,,,,,,,,,5,3,5,,,43
5067,,8,10,17,,,,,,,,,,,,,,2,2,25,2,3,14,2,1,1,6,82,50,,,,,,,,,,,,,,,,1,,1,1,1,,12,10,140,,391
5069,230,50,50,34,,,,,,,,,,,,,,8,208,255,278,178,170,157,172,165,142,172,,,,,,,,,,,,,,,64,86,56,49,37,49,69,7,1,1,,5,2693
5071,,,,13,,,,,,,,,,,,,,,,,2,2,,3,,3,13,28,189,,,,,,,,,,,,,,,,,,2,3,2,1,4,2,69,9,345
5073,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,1,8
5075,,,,,,,,,,,,,,,,,,,,46,12,26,,1,,,2,25,,,,,,,,,,,,,,,,,,,,,,,,11,11,1,135
5077,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2
5079,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,6
5081,,,,,,,,,,,,,,,,,,,,,1,1,,,9,22,5,2,,,,,,,,,,,,,,,,3,2,1,,,1,4,19,1,,,71
5083,,1,,,,,,,,,,,,,,,,,,,,,,,1,91,36,1,115,35,,,,,,,,,,,,,,,,,,,1,,,,,1,282
5085,3,2,12,61,,,,,,,,,,,,,,,,,1,5,,2,3,2,16,34,218,110,,,,,,,,,,1,,,,1,,2,4,1,,3,,,,13,494
5087,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,1,1,,7,,,1,16
5089,,,4,9,,,,,,,,,,,,,,,,,,,,1,6,1,4,16,1,,,,,,,,,,,,,,,,,,1,,4,12,13,7,,,79
5091,,1,,,,,,6,2,,,,,,,,,,,,,,1,8,7,3,1,28,,,,,,,,,,,,,,,,,,,1,,,,,,,,58
5093,,1,45,77,,,1,,,,,,,,,,,1,,,,2,,3,,2,2,2,117,303,192,,,,,,,,,,,,,,,,2,,1,17,63,10,165,47,1053
5095,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
5097,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,4
5099,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,9
5101,,,,2,3,,,,,,,,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,,,,,,,4,,,,5,,35
5103,4,7,5,11,,,,,,,,,,,,,,,1,,,,1,,,20,80,145,,,,,,,,,,,,1,,,,,,,,18,9,,16,38,125,239,720
5105,,,1,1,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,6,16
5107,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,2,8
5109,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,7
5111,,,,10,8,,,,,,,,,,,,,,,,,,,2,,2,8,5,2,,59,,,,,,,,,,,,,,,,,2,3,28,3,2,,1,135
5113,,,,,,,,,,,,,,,,,,,,,,2,,2,1,2,3,1,,,,,,,,,,,,,,,,,,,1,,2,2,73,71,,2,162
5115,,1,57,46,60,,,,,,,,,,,,,,1,,,,,45,1,1,162,185,,,,,,,,,,,,,,,,,,,,,101,86,21,157,83,,1007
5117,,,1,4,,,,,,,,,,,,,,,,,1,,,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,13
5119,1091,763,269,263,15,,3,,,1,,,,,1,2,,95,853,837,790,1144,1102,533,401,373,649,597,1293,3068,1100,,,,156,,,,39,61,,,,,,2,19,111,202,279,370,494,118,454,17548
5121,,,19,4,,,,,,,,,,,,,,,,,,,3,15,7,6,19,3,,,,,,,,,,,,,,,,,,19,16,10,14,9,27,2,,2,175
