id,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
4023,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,11
4025,58,31,1,11,,1,,870,,,,,,,,,,,1,1,,,14,3,23,100,45,179,43,,1,,,,,,,,,1,,,,,,,,,4,92,33,76,3,,,1591
4027,,1,1,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,13
4051,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5001,5,4,3,3,5,,,6,,,,,,,,,,,,,,,,,,6,,,,,,7,,,,,,,,,,,,,,,,,,,3,8,7,,,57
5003,,31,,19,,,,62,,,,,,,,,,,,,,,,,,13,14,4,,,,56,,,,,,,,,,,,,,,,,,3,1,4,3,,,210
5005,10,42,28,24,11,,,127,,,,,,,,,,,,,,1,19,6,75,38,9,14,18,4,,59,,,,,,,,,,,,,,,,19,45,3,3,28,18,,,601
5007,4,7,48,57,80,1,,835,,,,,,,,,,,68,46,26,62,87,113,103,45,23,59,7,,,327,1,,,,,,,,,,,,,34,73,115,104,19,68,89,106,,,2607
5009,,,2,,1,,,50,,,,,,,,,,,,,1,2,1,2,1,,,,,,,69,,,,,,,,,,,,,,,,,,2,1,1,1,,,134
5011,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,1,,,,,,39
5013,3,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,18
5015,19,22,25,23,23,,,167,,,,,,,,,,,,,,2,3,4,5,,13,17,20,,,95,,,,,,,,,,,,,,,,,,4,3,18,19,,,482
5017,,,8,24,,,,122,,,,,,,,,,,,,,23,97,,,48,,,,,,3,,,,,,,,,,,,,,,,,,,,9,25,,,359
5019,17,21,34,17,17,,,201,,,,,,,,,,,,,5,13,,,29,31,4,,,,,2024,,,,,,,,,,,,,,,,1,10,1,3,,1,,,2429
5021,,1,6,16,6,,,243,,,,,,,,,,,,,,,,,,1,3,,15,,,211,,,,,,,,,,,,,,,,,,,1,,1,,,504
5023,3,14,1,9,14,,,64,,,,,,,,,,,,,,,,,,7,11,11,8,,,7,,,,,,,,,,,,,,,,1,,,3,9,7,1,,170
5025,10,4,8,6,,,,118,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,2,,11,2,2,30,7,,,292
5027,13,10,,1,,,,99,,,,,,,,,,,,,8,5,9,13,3,,,6,8,1,,85,,,,,,,,,,,,,,8,5,,1,6,10,1,21,2,,315
5029,,4,20,63,,,,,,,,,,,,,,,,,,1,1,1,9,33,54,,,,,136,,,,,,,,,,,,,,,,,,31,48,10,36,,,447
5031,32,41,72,50,58,2,,903,,,,,,,,,,5,5,,,1,,,,5,25,36,39,2,,325,,,,,,,,,,,,,4,3,1,,,4,8,44,42,5,,1712
5033,39,,,,4,,,185,,,,,,,,,,19,12,8,20,,20,27,23,19,,,,,,202,,,,,,,,,,,15,13,,,,,19,35,36,6,10,,,712
5035,,44,57,,2,,,415,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,13,60,4,28,,,873
5037,16,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,3,7,2,,68
5039,5,9,25,9,,,,45,,,,,,,,,,,,,,,,,,,,,,,,921,,,,,,,,,,,,,,,4,,17,,,,33,,,1068
5041,19,64,2,3,1,,,148,,,,,,,,,,,,,,,,,,5,,,,,,8,,,,,,,,,,,,,,,,1,,,4,24,10,,,289
5043,,23,1,13,,,,39,,,,,,,,,,,,13,,,4,,,8,20,5,4,,,88,,,,,,,,,,,,,2,,,,,2,1,4,4,,,231
5045,23,57,23,5,2,13,,1397,,,,,,,,,,,1,22,41,1,7,92,22,3,21,1,,,,732,,,,,,,,,,,,,,32,70,,,27,30,9,2,,,2633
5047,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,1,,1,,,,14
5049,1,4,8,4,3,,,2,,,,,,,,,,,,,,,,,1,2,4,3,3,,,4,,,,,,,,,,,,,,,,,4,,2,2,1,,,48
5051,7,27,21,65,7,,,517,,,,,,,,,,,,4,4,18,18,20,32,84,39,,,,,186,,,,,,,,,,,,,16,34,29,3,27,7,4,11,3,,,1183
5053,6,17,38,31,,,,230,,,,,,,,,,,,1,,,,,,,,,,,,21,,,,,,,,,,,,,5,8,4,,27,17,,3,,,,408
5055,22,39,61,65,13,,,15,,,,,,,,,,,,,,,,18,,5,36,22,,,,154,,,,,,,,,,,,,,,,1,,1,1,23,3,,,479
5057,,7,18,12,,,,18,,,,,,,,,,,,15,15,19,14,7,14,20,,,,,,1929,,,,,,,,,,,,,,,19,1,11,1,1,,,,,2121
5059,16,3,30,18,69,,,579,,,,,,,,,,,,15,28,7,,16,35,30,17,5,,,,10,,,,,,,,,,,,,1,43,42,3,14,17,16,6,,,,1020
5061,19,10,5,25,,,,164,,,,,,,,,,,,,,,,,,,,,,,,1120,,,,,,,,,,,,,,,,,,,3,,,,,1346
5063,8,18,20,18,9,,,95,,,,,,,,,,,,11,14,8,,,1,6,10,5,7,1,,19,,,,,,,,,,,,,,,8,18,29,10,3,15,13,1,,347
5065,,6,1,3,11,,,,,,,,,,,,,,,,,,,,,1,2,3,3,1,,,,,,,,,,,,,,,,,,,1,,,1,7,,,40
5067,,6,10,10,3,,,11,,,,,,,,,,,,6,7,1,13,7,,12,13,16,6,,,49,,,,,,,,,,,,,,,2,1,5,,1,1,,,,180
5069,103,93,51,106,30,,,843,,,,,,,,,,,,,,,,,,23,,59,,,,168,,,,,,,,,,,,,,,,1,,4,6,157,62,2,,1708
5071,,30,69,47,2,,,178,,,,,,,,,,,,,,,,,,9,48,,,,,138,,,,,,,,,,,,,,,,1,1,1,5,23,35,,,587
5073,1,2,5,19,,,,1,,,,,,,,,,,,4,1,4,6,1,1,11,,,,,,,,,,,,,,,,,,,,,8,,20,1,,,,,,85
5075,,,,,,,,2,,,,,,,,,,,,,12,19,19,26,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,83
5077,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,3,1,,,,,18
5079,8,,15,7,,,,1,,,,,,,,,,,,,,,,15,15,11,1,,,,,3,,,,,,,,,,,,,,,,8,4,,,6,3,,,97
5081,16,1,13,1,8,,,117,,,,,,,,,,,,,,,,,,1,5,36,,,,205,,,,,,,,,,,,,,,,,,,1,,1,,,405
5083,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,100
5085,,6,3,57,,,,309,,,,,,,,,,,,,,1,,,1,,,33,29,13,,136,,,,,,,,,,,,,,,,,1,,6,30,48,,,673
5087,,,3,1,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,1,1,,2,,,,,25
5089,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4
5091,6,4,60,49,14,,,393,,,,,,,,,,,,,11,30,1,28,21,,,,,,,3128,,,,,,,,,,,,,,,,2,1,1,1,14,,,,3764
5093,,2,3,4,9,,,358,,,,,,,,,,,,,,,,,,,5,8,57,,,127,,,,,,,,,,,,,,,,,2,,12,2,49,,,638
